名称,类型,主播,热度
橘子马超老虎关羽带粉上荣耀！,王者荣耀,木木爱吃橘子,156432
招优质主持，陪聊,虚拟恋人,Q秦淮画舫,124633
【交友】距离你1km由宝贝慕xi丶冠名,交友,君悦一C位出道,124342
全区排位效率升段7260855,穿越火线,oheLG,156167
听歌养老直播间,自走棋,棋迷iluhr,155440
双国服赵云教学解说,王者荣耀,温存存存c,155213
凉凉小白菜,颜值,榕超越,123657
真人比直播好看系列,颜值,白菜baby,122566
全网最强单排战术大师/8.2KD,绝地求生,主播八戒戒,154682
神武网络-豪门火龙-热血传奇,传奇,传奇名扬四海,154611
小铭：包包包包包车~,跑跑卡丁车,小铭灬,154347
感谢拈花一下酒留情大哥宠冠，招全职主持+,交友,爱约一云顶之约,122564
三月要努力营业鸭,二次元,彤哥就是黄尹彤,122307
国服冒险岛1-早起的大秋,热门网游,是秋天呀丶,152293
川妹：臭弟弟，康康内脏~,lol云顶之弈,小兮姑娘,150871
【认证号】带粉啦,和平精英,一团橘猫,150868
录-百变女嗓7甜酱,电台,七甜Sakura,121758
新人求支持7371554,舞蹈,婉来,121444
早上第十个黑翼水友团启动！,魔兽怀旧服,璀璨星辰弈,150862
【肖璐】OMG挑战巅峰九连,DOTA,肖璐s,150736
路人：呃，出点主意干个什么好,CS:GO,路人strive,149556
让世界少一点套路，多一点真诚,交友,嗨玩一一诺千金,121040
【交友】梵天/好人冠招全职男女主持~,交友,王者一最强王者,120516
CCG冲刺百榜冲冲冲~,和平精英,汐妖丶,148989
【美月】川菜馆营业~变态辣操作欢迎品尝！,怪物猎人,丑月,148822
神武网络-酒鬼大极品热血传奇,传奇,阳光传奇123,148141
《交友》新厅招募主持歌手陪档小神兽,交友,Hm一极致诱惑i,120417
可爱又迷人的反派角色~~~,颜值,王牙牙呀,120079
梦里：办卡上车，贼猛~,和平精英,梦里Smdy,147876
四飞机车神空闲中,QQ飞车,丨北晨丨,147829
【晚晚】笑一个吧~,守望先锋,晚晚呦,147275
铁憨憨再此,颜值,战斗鸡雯雯,119929
今天长辈电话让我相亲对方是个威猛男,颜值,成都王丽坤,119290
定个小目标先赚一个亿~,逃离塔科夫,住你隔壁的二黑,147158
暴力上战神细节教学!,和平精英,暴力LH,147041
我也是个声优主播，嘤嘤嘤~~,恐怖游戏,是东东丫,146999
來晚了嘿嘿,户外,是你的小VV,119163
有我早安，你不孤单,颜值,王美澄up,118488
年套送宝珠送增幅帮打造魔界普雷,DNF,战法玩家阿凉,146967
宇宙第一，加油ヾ(◍°∇°◍)ﾉﾞ,绝地求生,贤宝0927,145955
【Franke19】Minor挨揍视角,CS:GO,Franke19,145665
我知道你会来，所以我在等7284980,舞蹈,小花妹ii,118408
无聊的假期本仙女陪你们度过,颜值,xBoA宝宝,118129
你的裂开哥来了！,DOTA2,小高Phenomenal,145644
国服百星野王带粉丝飞,王者荣耀,雨晨in,145474
打球的兄弟来！248674,灌篮高手正版授权手游,君爷牛B,145193
【女神金】科幻动作灾难喜剧电影,一起看,伊太刀刀,117853
【交友】soslran／胖秋情人节冠,交友,英爵一蜜桃成熟,117785
幻城神器单职业-神武网络,传奇,用户66720509,145135
AORUS霸气女王节妹子专属水冷,数码科技,BRO兄弟水冷,144837
P1我在快节奏里慢慢来不加入马戏团,DOTA2,艺术家P1,144413
奥利干干的一天,户外,东北郭老二,117434
❤弹唱小仙女❤,颜值,肉肉的肉球吖,117088
国一典韦带粉99胜率,王者荣耀,小宗阿,144064
【骚宇】声优跑刀仔,逃离塔科夫,骚宇Yuu,143832
欢乐四排带粉.办卡上车！,和平精英,你的声优醉,143622
人间不值得，但我超有趣～7849794,颜值,一只艾玛呀,116884
【贝爷影厅】经典科幻动作灾难巨兽,一起看,狂仔酷炫,115199
【带粉有位】赛季初带粉上战神,和平精英,耀星c,143456
【头鱼】新赛季冲冲冲,第5人格,头鱼教主,143035
峡谷之巅，王者提莫,英雄联盟,恶霸提莫,142974
徐大sao：更新了，记得点关注~,美食,徐大sao,115157
距离你0.01公里3878188,舞蹈,偷偷抱住L,114418
俊宏：跑起我的小游侠~,跑跑卡丁车,俊宏丿,142821
高····机械师,热门网游,无限跳票中,142691
实战派汽车行业你的后盾,汽车,雪鹰哥麻辣车评,142194
要比夏天更早一点来到我身边,颜值,ii金萌尼ii,113941
总有一个人山高水远为你而来,颜值,凉生Orz,112875
早安早安早安3963078,守望先锋,小光YA,142097
专业看号测试伤害,DNF,主播轩辕,141946
非对称第一高玩~,拾遗记,摇摇摇摇光,141851
【蓝翔】三国弹幕天团[请勿刷屏],一起看,山东蓝翔技工学院,112622
萬龍滑雪场,直播中国,万龙度假天堂,112395
养猪厂厂主十七在线嚣张,和平精英,十七走丢了,141793
【黎明赛季】专业带水友巅峰一条龙~,命运2,六爷直播,141620
鸟、每月发千元福利。,军事游戏,宋丹是鸟人,141610
我不喜欢这世界，我只喜欢你。,颜值,潇柯儿,111959
新来的！大家好！,舞蹈,芊源,111451
大妮：我天天日入千万,逃离塔科夫,爱超神的大妮,140871
川妹儿~~欢迎关注,绝地求生,沫栗桃QAQ,139697
30亿银币免费送粉丝,军事游戏,火色的王老湿,139411
慢直播|丽江蓝月谷湖,直播中国,游云南之丽江蓝月谷湖,110103
慢直播|保山龙江大桥,直播中国,游云南之保山龙江大桥,110080
新赛季办卡上车，房管全赛季王牌,和平精英,可以喜欢李时珍吗,138971
陵南集结！享受游戏、理智加一！,灌篮高手正版授权手游,灌篮高手正版手游,138790
耀光ws45的直播间,传奇,耀光ws45,138589
慢直播|冰雪海洋世界,直播中国,游云南之冰雪海洋世界,110077
希望享受一下女神节的快乐❤,颜值,俞斐YF,109595
不洗牌！一个认真的主播！,欢乐斗地主,正青春丶小絡,138178
神武网络-冰雪之魂-热血传奇,传奇,Autim孤独,138096
加班好痛苦。。。,欢乐斗地主,龍骑士丶微笑啊,137936
白茶清欢无别事8007613,颜值,白九儿丶,109128
主播距你100m3814019,颜值,顾盼兮小仙女,109124
继续冲8500咯！73965,DOTA2,霸气虚幻哥1991,137798
微信区带粉连胜,王者荣耀,别偷十五的猪,137770
【卡布】国服孙尚香视听盛宴！细腻！舒服！,王者荣耀,机智的卡布君,137747
我保持年轻的秘诀就是：谎报年龄,颜值,小尾巴珊珊,107933
等待我的有缘人～,颜值,姜姜吖J,107727
今晚要战分舵还有一个月33剑荡,天涯明月刀,淡年华v,137739
见清你是最胖的，加油,狼人杀,见清king,137692
国服第一孙尚香：带粉12分钟一局！,王者荣耀,婻枫,137653
本厅由齐哥独家冠名,交友,英爵一恋爱少女,107425
❤️可乐❤️欧美电影科幻经典动作,一起看,少女可乐橙,106964
百星野王带粉狂魔,王者荣耀,尼可Vv,136876
上个战神压压惊,和平精英,凉薄Verycool,136767
新手回归帮忙打造号年套送宝珠,DNF,dnf小阿辉,135493
水库收网地茏,美食,魅力生活i,106047
本厅由:“吴邪McGill”老板独家冠名,交友,莱菓一奶味少女,104915
SS6赛季战神路冷酷四少无情屠杀,和平精英,采臣i,135269
内斯塔~OL4排位~看号、开卡~,FIFA ONLINE4,SH内斯塔,134203
国服李白视觉享受90胜率带粉荣耀~,王者荣耀,七都a,134052
你最珍贵。3724354,颜值,七什么海,104451
【交友】生活很苦想要你这颗糖,交友,Hm一携程女友,104417
美测尝鲜~~~,lol云顶之弈,云顶声优少女连喜儿,134039
爱情小坦克，谁撞谁休克。,和平精英,小萌梨儿,133881
日常交学费冲就完事了,逃离塔科夫,Riot豆浆,133518
【交友】昼夜夜夜夜夜独家冠名,交友,爱约一最甜情歌,104398
农村大姐的相亲之路,颜值,红糖包子啊,103316
全职业“精通”王九日！,DNF,旭旭儿ii,132646
【陡壁】饥荒，挑战自闭难度翼语一命无敌！,饥荒,普通人陡壁,132571
这个小姐姐爱了爱了。,穿越火线,王懒懒阿,132224
湖南小改改,颜值,悠崽很皮啊,102834
【小宇尬舞】科幻动作灾难喜剧电影,一起看,Rainsunn,102191
【甜音喵】乌云逐渐散去~阳光普照,恐怖游戏,毒蕊喵,132188
eStar周冬冬新版本教学,王者模拟战,eStarPro周冬冬,131659
神武网络-攻速冰雪-热血传奇,传奇,冰雪大陆传奇,130883
双倍的快乐6458138,颜值,姗宝lavender,101889
这是你的小天堂,交友,莱菓一迷人宝贝,101267
青青:野区滴神,王者荣耀,青青阿i,130247
免费上车寻找幽默风趣的灵魂—,英雄联盟,喝白酒的淑女顾小绵m,130092
全网最强带粉车队，双国服,王者荣耀,刘小备105415,129968
嘟嘟嘟嘟嘟嘟嘟嘟6257560,美食,你的网友小董,101252
余音绕梁抚慰你的心,交友,点唱一余音,101152
象棋《36计》运用,中国象棋,阿宝讲棋,129765
枪王之王全区排位定级,穿越火线,CF酒,129570
功力方案、角色估价6070318,天涯明月刀,萌弟弟777,129315
好久不见啦～7079585,颜值,阿嗲呀,100930
新人主播第一天～qwq求关注,颜值,小茵kiyomi,100635
上战神继续与外挂作斗争！！！,和平精英,奇奇怪怪艾九九,129254
重庆钢枪莽妹！等你来捶~,绝地求生,马薇薇ViVi,128734
【广东小姐姐】有没有大哥上车哇,王者荣耀,甜心娇丶,128641
斗鱼第一美腿鹿鹿,舞蹈,暴躁的鹿鹿猪,100564
「橙子Orange」「港剧」「19点见」,一起看,橙橙子丶剧集舍,100308
FPP/tpp约我吃鸡别问KD,绝地求生,小安睡醒了,127217
不是你喜欢的声优木,王者荣耀,北木木木木丶,126928
光打宝不PK什么鬼,热门网游,传奇世界萧然,126763
【三国开启】：让弹幕飞一会。,一起看,颜宇森,100169
武汉加油！6343035,交友,君悦一浮生若梦,100020
【恐怖在线】：卢修斯3恐怖小孩回来了,恐怖游戏,兔了了丶,125197
小连：上个1200？,lol云顶之弈,皓皓饿了,125032
海洋之子。心怀海洋,lol云顶之弈,旭旭c丶,123103
感谢一路相伴5669534,颜值,小鲤鱼儿吧,99846
biuˇ40关小心愿,颜值,鹿小贝唄,99210
很荣幸遇见你们,CS:GO,芯芯OvO,122943
瑞兹王！三级必杀大师王者,英雄联盟,狼神丶欧阳,122825
【夏小倩】做我的人，我宠你,绝地求生,夏小倩Cherr,122286
哥哥在吗？我超好骗,颜值,十六不太酸,98551
香妹儿mina的直播间,舞蹈,香妹儿mina,98239
失传已久的T0狂暴后裔进来看秘籍。,王者荣耀,渝万丶伊芙琳,122101
甘甘：巅峰啦~,梦幻模拟战,甘肝肝兴8,121670
全能射手：五排带粉，办卡上车,王者荣耀,香蕉c,121143
新人主播～3860756,颜值,阿拉瑶er,98062
本厅由点点霸气冠名～,交友,莱菓一眉眼如初,98018
俄罗斯方块99！稍后千人mugen大战！,马里奥制造,windkey,121111
【洒鸦】科幻级恐怖游戏主播,恐怖游戏,洒鸦的脱,121103
直播时间改为早（晚）8-12点,CS:GO,没谱女青年,120373
唱歌，聊天，玩游戏，开开心心，快快乐乐,交友,王者一亲密恋人,97960
柳皇柳皇猖狂猖狂,颜值,柳哥dd,96959
无偿带粉五排办卡优先,王者荣耀,於爱闹,119999
⭐睡神附体精分少女已上线！！⭐,绝地求生,小了雪了雪xue,119969
赶快来上车，车贼稳,王者荣耀,謫仙啊,119732
带大家逛海鲜市场,户外,赶海无忧,96364
安徽小姐姐努力搬砖中,颜值,是舒雅吖,95903
新赛季继续冲排行榜啦,CF手游,SV龙虾Duang,119600
主播距离您5km。,魔兽争霸,真三卡神,119140
这天空神的爆率要废了啊,传奇世界,传奇世界主播譕訫,119073
本厅由中华田园鸭霸气冠,交友,莱菓一蜜糖女友,95323
想和你低空飞行,颜值,大宁妹妹,94965
WILL直播丨逃离塔科夫PC4K,逃离塔科夫,IBADDOG,118855
[有车位]哥哥让我宠你吧,和平精英,喜欢JuJu嘛,118843
今晚比赛：全职业直播PK定位上分教学印章,DNF,DNF凤凰羽,118722
一只烟酒嗓,颜值,凤年小六月,94866
下饭TV中午生菜粥午餐肉,美食,雪纳瑞三口之家,94733
7日14点，pwvs祈，民间高手对决,王者荣耀,斗鱼王者荣耀大师赛,118603
LOGO号带粉有车位,和平精英,追梦丶梦然,118499
di小呆：最强鬼王在线教学~.~,拾遗记,di小呆,117510
【Liz】小姐姐陪你看~^▽^,一起看,小栗子呀Liz,94660
别划了看看我8,颜值,周昭芹,94435
萌新回归帮忙打造号年套送宝珠,DNF,迪哥助你圆梦,117386
魔兽争霸3~精彩视频~LioN大帝解说,魔兽争霸,大帝LioN,117235
三指七国服野王带粉，一场视觉盛宴。,王者荣耀,勉强不是弟弟,117171
【乳山生蚝基地】现场发货,美食,威海高哥587997,94140
【污夕阳】喜剧科幻灾难动作电影,一起看,鲜夕阳,93328
最强平民教你如何站边，记得吃饭哦！,狼人杀,抱南瓜的好狼丶,116678
新赛季全区排位冲鸭,穿越火线,白鲨金豆豆,116422
【挂皮肤】1滴血生存-极限,饥荒,小明鸽i,116041
雨萱可太难了～,颜值,张雨萱rr,93284
一人做事一人当我的对象谁来当,舞蹈,烦烦by,93246
低端局带妹虐菜中hahahaha爽！,王者荣耀,酥胸九mm,115848
单排速冲荣耀！！！,王者荣耀,东宇s,115783
【国一韩信】五十星以下随意屠杀局带粉,王者荣耀,酷酷的初鑫,115755
我崇拜你像个英雄你疼爱我像个孩子,颜值,海乐丶白雪,93181
可可爱爱没有脑袋7779166,颜值,糖小梦dd,92786
99胜率带粉，办卡上车飞机王者,王者荣耀,可乐尼洛ColonnelloPro,115375
国服阿轲一张办卡永久上车。,王者荣耀,TD丶若白,115324
奇怪的烦恼增加了！❤桃の恐怖网课中心,恐怖游戏,桃桃巫SareTTa,115060
周六：一起锻炼吧,户外,刘灶灶,92398
管管我！！！,颜值,是雨儿阿,92042
无脑一手卡尔直播间,DOTA2,卡滨KB,115035
百星野王光速带粉上分有车位,王者荣耀,阿亦不撩妹,114970
雾太浓：萌新导师教你玩储备站,逃离塔科夫,雾太浓cc,114950
娇妹在线挨揍7508436,舞蹈,娇Mnmm,91632
距离你100米7514075,颜值,元氣少女小宅,89864
马超：插秧王不秀举报我,王者荣耀,天涯yy丶,114827
爆天甲各种碰瓷来弄,QQ飞车端游,BN丶罗伟,114637
大河之键天上来！,魔兽世界,圈圈蜀黍,114233
初来乍到请多关照鸭~,颜值,Yaq丶哈哈怪,89644
我的商纣王呢,颜值,纯甄小妲己,89482
“Z”字抖动,王者荣耀,铁憨憨周阿狗,113980
【榜十战神】双排冲冲冲,和平精英,浮生浮生i,113934
第一死歌：2分钟没一血请举报！！,英雄联盟,俞俊0829,113928
我来啦~~1321478,颜值,阿果是温柔果,89297
疼疼小朋友吧,颜值,秋秋小耳朵,89161
锐雯回流身法被乱杀,英雄联盟,雯神,113865
早上好啊啊1602985,火影忍者,爱唱歌的小白菜,113675
新的一天增幅强化又开始啦~,DNF,是大脸怪i,113563
【小姨陪看】你的小姨~,一起看,你的小姨丶,89117
等待哥哥的一见钟情~！,交友,Hm一一见钟情,89078
登陆送永久，全装永久玩，飞机毕业新图塔防,逆战,烧饼哥呀,113355
玛莎拉蒂4S专属直播间,和平精英,主播韭菜盒,113211
俩万场王者螳螂钻石乱杀,英雄联盟,摘星螳螂,113051
招优质全职主持！！,交友,星娛樂一满目星河,88866
转世哥/猫哥/知趣冠,交友,星娱一春心荡漾i,88435
不和弹幕互怼行动：第二天,穿越火线,传情小小,112982
在线开光抽终极,皇室战争,Prince晋,112957
走心直播，办卡上分，嘿嘿,QQ飞车,安静的大胖鱼,112906
招全职优秀主持！,交友,小象一我喜欢你,88274
是你的蛋黄派,户外,八卦杰尼龟upup,87879
爱的魔力转圈圈&amp;quot;,绝地求生,CC小公举呀,112868
新版本强力上分阵容,lol云顶之弈,AC遗憾,112794
百星野王在线带飞！！！,王者荣耀,星辰丶rr,112623
直播：今天也想见到你,电台,余西望,87806
卿音欢迎您回家！招聘各类风格歌手及团队。,交友,点唱Live卿音,87533
Tiger杯即将开赛报名看鱼吧,CF手游,荒岛大魔王战77,112324
无界象棋教学直播,中国象棋,中国象棋无界,112045
